ClientID,PreferredClinicID,ClientName,City,State,PostalCode,ClientSince,MarketingOptIn,PreferredContact,AcquisitionChannel,HouseholdIncomeBand
C000020,CL005,Emily Nguyen,Orlando,FL,34790,2018-08-16,Yes,Email,Walk-In,$50K-$74K
C000021,CL005,Olivia Perez,Delray Beach,FL,32363,2018-10-14,Yes,Email,Community Event,$75K-$99K
C000022,CL005,Olivia Adams,Alachua,FL,33101,2019-03-09,Yes,SMS,Google Search,$150K+
C000023,CL009,Isabella Torres,Miami,FL,33787,2018-07-12,Yes,SMS,Community Event,$75K-$99K
C000024,CL003,Sofia Young,Lakeland,FL,33163,2019-05-24,No,Email,Google Search,$150K+
C000025,CL006,Emma Rivera,Miami,FL,32814,2019-08-04,Yes,SMS,Google Search,$75K-$99K
C000026,CL010,Mateo Davis,Fort Myers,FL,32387,2020-08-07,No,SMS,Existing Client,<$50K
C000027,CL001,Mason Anderson,Jacksonville,FL,32020,2023-01-07,Yes,Email,Google Search,$50K-$74K
C000028,CL011,Robert Adams,Lakeland,FL,32267,2020-01-01,Yes,SMS,Walk-In,$75K-$99K
C000029,CL006,Audrey Hernandez,Boca Raton,FL,34983,2018-08-23,Yes,SMS,Google Search,$75K-$99K
C000030,CL002,Emma Torres,Clearwater,FL,33607,2021-05-06,Yes,Phone,Community Event,<$50K
C000031,CL004,Amanda Davis,Lakeland,FL,34501,2023-02-06,No,SMS,Walk-In,$75K-$99K
C000032,CL004,Sarah Thompson,Naples,FL,33329,2021-10-10,Yes,SMS,Referral,<$50K
C000033,CL009,Emma King,Lakeland,FL,34903,2020-05-07,No,SMS,Referral,$100K-$149K
C000034,CL011,Ava Nelson,Palm Coast,FL,32864,2019-06-16,Yes,Phone,Community Event,$75K-$99K
C000035,CL010,Mason Robinson,Pensacola,FL,33650,2021-08-22,Yes,SMS,Existing Client,$75K-$99K
C000036,CL004,Mateo Young,Lake City,FL,32329,2019-02-22,Yes,Phone,Referral,$150K+
C000037,CL001,Michael Martin,Sarasota,FL,32234,2020-04-21,Yes,SMS,Google Search,$150K+
C000038,CL004,Lauren Lee,Gainesville,FL,32592,2020-09-02,Yes,Phone,Walk-In,$150K+
C000039,CL012,Ethan Ramirez,Miami,FL,32012,2022-01-15,No,Email,Google Search,$50K-$74K
C000040,CL011,Megan Ramirez,Palm Coast,FL,34334,2023-03-15,Yes,Email,Community Event,$100K-$149K
C000041,CL012,Amelia Lee,Pensacola,FL,32373,2019-11-30,No,SMS,Referral,<$50K
C000042,CL003,Ella Hall,St. Petersburg,FL,32773,2018-05-05,No,Email,Existing Client,$100K-$149K
C000043,CL011,Logan Wilson,Ocala,FL,32655,2022-07-16,Yes,Phone,Community Event,$150K+
C000044,CL004,Olivia Jones,Naples,FL,32044,2021-01-13,Yes,SMS,Social Media,$100K-$149K
C000045,CL010,Chloe Green,Palm Coast,FL,34919,2020-10-08,Yes,Phone,Google Search,$150K+
C000046,CL010,Henry Flores,Alachua,FL,34940,2020-08-06,Yes,Email,Community Event,<$50K
C000047,CL002,Daniel Nguyen,Orlando,FL,33209,2020-07-19,Yes,SMS,Social Media,<$50K
C000048,CL001,Ashley Harris,Orlando,FL,33500,2018-05-31,Yes,Email,Community Event,$75K-$99K
C000049,CL004,Ryan Hill,Jacksonville,FL,32090,2021-03-17,Yes,SMS,Social Media,$100K-$149K
C000050,CL002,Harper Nelson,Pensacola,FL,32499,2023-05-13,Yes,Phone,Community Event,<$50K
C000051,CL011,Ashley Davis,Clearwater,FL,34399,2023-06-02,Yes,Phone,Community Event,$150K+
C000052,CL007,Grace Perez,Lakeland,FL,33525,2022-11-25,No,SMS,Referral,$100K-$149K
C000053,CL006,Jack Walker,Tallahassee,FL,34386,2019-11-01,No,Email,Social Media,<$50K
C000054,CL011,Olivia Rodriguez,St. Petersburg,FL,33430,2018-02-05,No,SMS,Walk-In,$50K-$74K
C000055,CL006,Henry Brown,Jacksonville,FL,32586,2018-05-12,Yes,Phone,Existing Client,$50K-$74K
C000056,CL011,Megan Roberts,Fort Myers,FL,32447,2019-08-14,No,Phone,Referral,<$50K
C000057,CL012,Nick King,Alachua,FL,33461,2023-03-22,Yes,Email,Social Media,$50K-$74K
C000058,CL010,Camila Martin,Miami,FL,33049,2022-07-17,No,SMS,Existing Client,<$50K
C000059,CL001,Robert Thompson,Fort Myers,FL,33158,2018-11-22,Yes,SMS,Existing Client,$150K+
C000060,CL005,Elijah Young,Orlando,FL,32926,2021-07-13,Yes,Email,Existing Client,<$50K
C000061,CL008,Robert Gonzalez,Gainesville,FL,33200,2022-11-26,No,Email,Existing Client,$75K-$99K
C000062,CL005,Ryan Jackson,Pensacola,FL,32432,2020-03-26,No,Phone,Community Event,$100K-$149K
C000063,CL008,Rachel Young,Boca Raton,FL,32897,2022-10-07,Yes,Phone,Community Event,<$50K
C000064,CL001,James Scott,St. Petersburg,FL,34939,2020-11-15,Yes,SMS,Social Media,<$50K
C000065,CL011,Kevin Thomas,Pensacola,FL,34993,2020-02-18,Yes,Phone,Social Media,$50K-$74K
C000066,CL012,Audrey Rodriguez,Miami,FL,33544,2022-06-22,No,SMS,Walk-In,<$50K
C000067,CL012,Emma Williams,Lake City,FL,34162,2019-03-23,Yes,Phone,Social Media,$100K-$149K
C000068,CL009,Luna Gonzalez,Tallahassee,FL,34598,2020-05-18,No,Phone,Existing Client,$150K+
C000069,CL002,Nick Hall,Tallahassee,FL,33033,2018-11-18,No,SMS,Walk-In,$50K-$74K
C000070,CL003,Jason Gonzalez,Orlando,FL,32862,2021-06-29,Yes,SMS,Referral,$75K-$99K
C000071,CL009,Daniel Johnson,Newberry,FL,34413,2023-06-09,Yes,SMS,Community Event,$150K+
C000072,CL002,Michael Clark,Sarasota,FL,34726,2021-03-26,No,SMS,Walk-In,<$50K
C000073,CL011,Emily Smith,Clearwater,FL,32554,2018-10-18,Yes,SMS,Community Event,$150K+
C000074,CL009,Jackson Lewis,Newberry,FL,34678,2023-06-03,Yes,Phone,Existing Client,$50K-$74K
C000075,CL012,Mia Gonzalez,Jacksonville,FL,34346,2021-01-21,Yes,SMS,Google Search,$100K-$149K
C000076,CL002,Sofia Wright,Orlando,FL,34194,2018-02-27,Yes,SMS,Existing Client,<$50K
C000077,CL009,Mateo Gonzalez,Tallahassee,FL,33934,2019-09-10,Yes,SMS,Walk-In,$75K-$99K
C000078,CL002,Ella King,Orlando,FL,33349,2023-01-09,No,Email,Community Event,$100K-$149K
C000079,CL009,Amanda Smith,Ocala,FL,34885,2022-03-28,Yes,SMS,Referral,$50K-$74K
C000080,CL012,Audrey Young,Lake City,FL,32611,2023-03-31,No,Email,Social Media,$75K-$99K
C000081,CL007,Audrey Nguyen,Tampa,FL,33164,2023-11-03,No,SMS,Existing Client,$150K+
C000082,CL011,Henry Campbell,Orlando,FL,34046,2022-03-15,Yes,SMS,Google Search,$50K-$74K
C000083,CL009,Mateo Scott,Naples,FL,33525,2018-11-25,No,SMS,Walk-In,$100K-$149K
C000084,CL004,Benjamin Young,Fort Myers,FL,33826,2020-03-29,Yes,SMS,Google Search,$50K-$74K
C000085,CL002,Elijah Nelson,Palm Coast,FL,33957,2018-11-09,Yes,SMS,Social Media,$50K-$74K
C000086,CL007,Emma Hall,Lakeland,FL,32953,2019-06-14,Yes,SMS,Google Search,$150K+
C000087,CL001,Jason Carter,Lake City,FL,34821,2021-03-13,No,SMS,Community Event,$100K-$149K
C000088,CL002,Jason Mitchell,Alachua,FL,33487,2022-07-11,Yes,Email,Community Event,$100K-$149K
C000089,CL012,Nick Brown,Lake City,FL,32074,2021-07-29,No,Phone,Community Event,<$50K
C000090,CL006,Emily Thomas,Lake City,FL,32830,2018-12-25,No,Email,Referral,$100K-$149K
C000091,CL010,Lauren Martin,St. Petersburg,FL,32471,2019-01-16,Yes,SMS,Walk-In,$100K-$149K
C000092,CL003,Sophia Scott,Naples,FL,33928,2018-11-03,Yes,SMS,Existing Client,$150K+
C000093,CL012,Grace Martin,Newberry,FL,33894,2019-01-15,Yes,Phone,Community Event,$150K+
C000094,CL003,Amelia Campbell,Ocala,FL,34978,2021-11-18,Yes,Phone,Social Media,<$50K
C000095,CL008,Ashley Walker,Palm Coast,FL,33325,2019-08-04,Yes,Email,Referral,$75K-$99K
C000096,CL007,Lucas King,Palm Coast,FL,34506,2020-01-23,Yes,Email,Social Media,$100K-$149K
C000097,CL007,Isabella Jones,Delray Beach,FL,34567,2022-04-17,Yes,SMS,Social Media,$150K+
C000098,CL005,Lauren Vilaihong,Naples,FL,32665,2023-09-02,Yes,SMS,Google Search,$100K-$149K
C000099,CL001,Ryan Walker,Tallahassee,FL,32216,2021-10-16,Yes,SMS,Existing Client,<$50K
C000100,CL001,Sofia Hall,Delray Beach,FL,34064,2022-03-15,No,SMS,Existing Client,$150K+
C000101,CL011,Audrey Scott,Naples,FL,33973,2022-05-09,Yes,SMS,Existing Client,$75K-$99K
C000102,CL012,Mason Robinson,Lake City,FL,34677,2020-01-04,Yes,SMS,Google Search,<$50K
C000103,CL005,Mia Rodriguez,Lakeland,FL,33272,2018-10-05,No,SMS,Walk-In,$150K+
C000104,CL002,Megan Mitchell,Lakeland,FL,34559,2022-10-04,Yes,Phone,Social Media,$75K-$99K
C000105,CL001,Ashley Anderson,Jacksonville,FL,34369,2022-03-27,No,SMS,Social Media,<$50K
C000106,CL009,Jackson Robinson,Boca Raton,FL,34358,2018-09-06,Yes,SMS,Community Event,$100K-$149K
C000107,CL005,Jason Hill,Naples,FL,32019,2021-08-10,No,SMS,Google Search,$150K+
C000108,CL004,Ella Torres,Jacksonville,FL,32570,2023-07-30,No,SMS,Google Search,$150K+
C000109,CL002,Lucas Harris,Lake City,FL,33300,2023-07-11,Yes,SMS,Community Event,<$50K
C000110,CL009,Jackson Jackson,Gainesville,FL,33283,2023-09-05,Yes,Phone,Community Event,$50K-$74K
C000111,CL011,Kevin Wright,Tallahassee,FL,34405,2022-09-13,No,SMS,Social Media,<$50K
C000112,CL008,Kevin Lewis,Alachua,FL,32539,2020-07-04,No,Email,Referral,$50K-$74K
C000113,CL007,Ella Carter,Lakeland,FL,32041,2020-07-06,No,SMS,Google Search,$75K-$99K
C000114,CL009,Charlotte Thompson,Lake City,FL,34713,2018-07-31,Yes,Email,Community Event,$50K-$74K
C000115,CL003,Noah Gonzalez,Jacksonville,FL,34576,2022-07-22,No,Email,Community Event,<$50K
C000116,CL011,Jason Perez,Palm Coast,FL,34689,2021-12-28,No,SMS,Referral,$150K+
C000117,CL008,Grace Gonzalez,Clearwater,FL,32099,2018-04-06,Yes,Phone,Google Search,$75K-$99K
C000118,CL002,Amanda Adams,Ocala,FL,32928,2018-02-25,Yes,SMS,Existing Client,$100K-$149K
C000119,CL011,James Martin,St. Petersburg,FL,34042,2018-02-11,Yes,SMS,Community Event,<$50K
C000120,CL004,Mateo Lopez,Sarasota,FL,34576,2019-08-01,Yes,SMS,Referral,$150K+
C000121,CL010,Sophia Martinez,Pensacola,FL,34303,2019-08-28,Yes,Phone,Google Search,$100K-$149K
C000122,CL007,Emma Ramirez,Miami,FL,32880,2020-11-20,Yes,SMS,Google Search,$150K+
C000123,CL005,Grace Johnson,Lakeland,FL,34815,2018-03-06,Yes,Phone,Google Search,$50K-$74K
C000124,CL002,David Baker,Sarasota,FL,32177,2019-07-13,Yes,SMS,Google Search,$50K-$74K
C000125,CL006,Ella Taylor,Naples,FL,33219,2020-11-06,Yes,Phone,Community Event,<$50K
C000126,CL006,Amelia Jackson,Lake City,FL,32952,2018-12-15,Yes,Phone,Google Search,$100K-$149K
C000127,CL010,Ava Hernandez,Clearwater,FL,33184,2020-11-21,Yes,Email,Google Search,$150K+
C000128,CL008,Amanda Davis,Jacksonville,FL,32581,2020-03-02,Yes,SMS,Walk-In,$150K+
C000129,CL007,Lauren Young,Orlando,FL,32725,2018-02-04,Yes,Phone,Community Event,$75K-$99K
C000130,CL012,Camila Baker,Fort Myers,FL,32562,2019-12-01,Yes,SMS,Existing Client,$50K-$74K
C000131,CL009,Rachel Thompson,Jacksonville,FL,34783,2022-12-08,No,Phone,Social Media,<$50K
C000132,CL007,Mia Gonzalez,Boca Raton,FL,33347,2022-08-25,No,SMS,Referral,$150K+
C000133,CL003,Ava Robinson,Boca Raton,FL,32940,2022-04-12,Yes,Email,Referral,$75K-$99K
C000134,CL008,Chloe Ramirez,Newberry,FL,34708,2022-11-06,Yes,SMS,Walk-In,$150K+
C000135,CL009,Noah Robinson,Delray Beach,FL,32688,2023-10-02,Yes,SMS,Google Search,<$50K
C000136,CL008,Sofia Robinson,Fort Myers,FL,33883,2019-04-28,No,SMS,Walk-In,$50K-$74K
C000137,CL005,Emily King,Newberry,FL,34518,2023-12-13,No,Email,Existing Client,<$50K
C000138,CL007,Mateo Young,Newberry,FL,32550,2018-12-25,No,SMS,Existing Client,$150K+
C000139,CL003,Ashley Allen,Lake City,FL,34512,2018-01-08,No,Phone,Existing Client,$75K-$99K
C000140,CL009,Amanda Martin,Delray Beach,FL,32238,2023-02-10,No,SMS,Google Search,$150K+
C000141,CL002,Amanda Flores,Gainesville,FL,33829,2018-01-01,No,SMS,Walk-In,$150K+
C000142,CL007,Isabella Sanchez,Gainesville,FL,34263,2021-08-06,Yes,Email,Existing Client,$150K+
C000143,CL003,Kevin Robinson,Boca Raton,FL,34155,2018-03-11,Yes,Email,Google Search,<$50K
C000144,CL012,Jack Walker,Sarasota,FL,33620,2019-01-27,No,Phone,Community Event,<$50K
C000145,CL005,Liam Mitchell,Tallahassee,FL,34188,2018-06-21,Yes,SMS,Existing Client,$150K+
C000146,CL007,James Harris,Tallahassee,FL,34662,2019-02-17,Yes,SMS,Community Event,<$50K
C000147,CL005,Megan Perez,Sarasota,FL,32286,2018-09-29,Yes,Email,Social Media,$75K-$99K
C000148,CL010,Harper Martin,Miami,FL,34055,2018-02-02,Yes,SMS,Google Search,$100K-$149K
C000149,CL009,Amelia Torres,Pensacola,FL,34830,2019-10-04,Yes,Phone,Walk-In,$50K-$74K
C000150,CL008,Liam King,Gainesville,FL,34938,2019-10-08,Yes,SMS,Community Event,$75K-$99K
C000151,CL006,Emily Hill,Boca Raton,FL,34153,2023-08-15,Yes,SMS,Referral,<$50K
C000152,CL004,Camila Baker,Jacksonville,FL,33356,2021-05-20,No,SMS,Referral,<$50K
C000153,CL011,Charlotte Rodriguez,Lakeland,FL,32222,2018-05-09,Yes,Email,Social Media,$150K+
C000154,CL010,Mateo Hill,Sarasota,FL,34755,2023-09-30,No,Email,Community Event,<$50K
C000155,CL001,Jessica Garcia,Orlando,FL,34482,2023-10-14,Yes,Email,Walk-In,$150K+
C000156,CL001,Amanda Martinez,Miami,FL,34601,2019-09-18,No,SMS,Existing Client,$75K-$99K
C000157,CL009,Evelyn Allen,Lake City,FL,34090,2019-12-21,No,SMS,Social Media,<$50K
C000158,CL002,Olivia Wright,Lake City,FL,33892,2021-02-16,Yes,SMS,Social Media,$100K-$149K
C000159,CL009,Megan Davis,Newberry,FL,34299,2018-09-04,Yes,SMS,Community Event,$50K-$74K
C000160,CL005,Emily Thompson,Clearwater,FL,34418,2023-10-12,No,Email,Existing Client,$100K-$149K
C000161,CL012,Grace Martinez,Gainesville,FL,32183,2020-06-27,Yes,Email,Social Media,$100K-$149K
C000162,CL001,Olivia Baker,Sarasota,FL,32277,2021-03-04,No,Phone,Walk-In,$100K-$149K
C000163,CL001,Daniel Miller,Delray Beach,FL,32974,2018-06-22,Yes,Phone,Existing Client,$75K-$99K
C000164,CL010,Isabella Lopez,Palm Coast,FL,34103,2020-11-10,No,Email,Existing Client,$50K-$74K
C000165,CL011,Daniel Lee,Jacksonville,FL,34136,2020-12-30,No,SMS,Social Media,$75K-$99K
C000166,CL002,Logan Martin,Miami,FL,34391,2018-06-16,Yes,SMS,Existing Client,$75K-$99K
C000167,CL005,Megan Lewis,Clearwater,FL,33717,2022-05-25,No,Email,Existing Client,$100K-$149K
C000168,CL012,Kevin Wilson,Lakeland,FL,33210,2022-06-11,Yes,SMS,Walk-In,$50K-$74K
C000169,CL011,Noah Jackson,Ocala,FL,32419,2019-04-21,No,SMS,Referral,$150K+
C000170,CL003,Rachel Jackson,Alachua,FL,32424,2018-02-23,Yes,Phone,Google Search,$100K-$149K
C000171,CL002,James Robinson,Tallahassee,FL,32312,2019-12-01,No,Phone,Social Media,$75K-$99K
C000172,CL005,Elijah Lee,Sarasota,FL,33893,2019-07-20,Yes,Email,Walk-In,<$50K
C000173,CL003,Benjamin Davis,Tampa,FL,33451,2023-02-05,No,Email,Google Search,$150K+
C000174,CL007,Elijah Thomas,Boca Raton,FL,32480,2020-11-21,No,SMS,Google Search,$100K-$149K
C000175,CL007,Chloe Adams,Fort Myers,FL,32099,2018-01-15,No,SMS,Existing Client,$75K-$99K
C000176,CL002,Harper Davis,Lakeland,FL,34952,2019-08-18,Yes,Email,Google Search,<$50K
C000177,CL012,Kevin White,Sarasota,FL,32381,2021-05-13,No,SMS,Walk-In,$50K-$74K
C000178,CL005,Robert Nguyen,Sarasota,FL,34185,2020-11-07,Yes,Phone,Referral,$150K+
C000179,CL010,Liam Wright,Miami,FL,34378,2022-09-05,Yes,SMS,Google Search,$150K+
C000180,CL003,Olivia Allen,Boca Raton,FL,33399,2023-02-11,Yes,SMS,Google Search,$75K-$99K
C000181,CL004,Noah Hill,Gainesville,FL,34309,2019-10-19,Yes,Email,Existing Client,<$50K
C000182,CL011,Amelia Gonzalez,St. Petersburg,FL,33570,2021-09-30,Yes,SMS,Google Search,$150K+
C000183,CL009,Emily Martinez,Tallahassee,FL,32265,2020-06-04,No,SMS,Referral,$100K-$149K
C000184,CL010,Jason Hernandez,St. Petersburg,FL,34869,2019-08-25,Yes,Phone,Community Event,$75K-$99K
C000185,CL008,Sofia Williams,Clearwater,FL,32537,2022-11-15,Yes,SMS,Existing Client,$50K-$74K
C000186,CL004,Camila Lewis,Clearwater,FL,33849,2018-03-12,No,SMS,Google Search,$100K-$149K
C000187,CL005,Liam Thomas,Gainesville,FL,33667,2021-10-04,No,SMS,Existing Client,$150K+
C000188,CL008,Sarah Rodriguez,Lake City,FL,34887,2022-02-14,Yes,Phone,Walk-In,$50K-$74K
C000189,CL006,Nick Sanchez,Jacksonville,FL,34717,2022-04-08,Yes,Phone,Social Media,$75K-$99K
C000190,CL009,Henry Thomas,Gainesville,FL,34976,2022-01-06,Yes,SMS,Walk-In,$100K-$149K
C000191,CL003,Kevin Moore,Pensacola,FL,33570,2023-12-23,Yes,SMS,Referral,$75K-$99K
C000192,CL007,Emily Young,Jacksonville,FL,33451,2018-08-13,Yes,SMS,Walk-In,$100K-$149K
C000193,CL002,Ryan Perez,Tampa,FL,33312,2020-02-15,Yes,SMS,Social Media,$150K+
C000194,CL001,Amelia Ramirez,Sarasota,FL,33253,2020-05-22,Yes,Phone,Community Event,$50K-$74K
C000195,CL004,Liam Gonzalez,Tampa,FL,34875,2023-12-24,No,SMS,Existing Client,$150K+
C000196,CL004,Ryan Lewis,Naples,FL,33593,2023-01-05,Yes,SMS,Existing Client,$100K-$149K
C000197,CL008,Camila Taylor,Orlando,FL,33661,2021-01-26,Yes,SMS,Referral,<$50K
C000198,CL009,Lucas Sanchez,Gainesville,FL,34848,2020-07-15,Yes,Phone,Existing Client,$150K+
C000199,CL009,Amelia Gonzalez,Naples,FL,34598,2019-02-14,Yes,SMS,Google Search,<$50K
C000200,CL011,Emma Allen,Palm Coast,FL,32707,2018-12-13,Yes,Phone,Google Search,$50K-$74K
C000201,CL001,Sofia Lee,Fort Myers,FL,33958,2021-08-18,Yes,Phone,Existing Client,$50K-$74K
C000202,CL006,Benjamin Hernandez,Tallahassee,FL,32532,2023-03-29,No,Phone,Social Media,$50K-$74K
C000203,CL004,Rachel Johnson,Naples,FL,32084,2020-08-01,Yes,Email,Walk-In,$150K+
C000204,CL002,Olivia Adams,St. Petersburg,FL,34203,2019-04-25,Yes,Phone,Existing Client,$50K-$74K
C000205,CL009,Jason Roberts,Alachua,FL,33244,2022-02-10,Yes,SMS,Google Search,$150K+
C000206,CL008,Luna Nelson,Lake City,FL,32514,2023-04-14,Yes,Email,Social Media,<$50K
C000207,CL012,Ashley Johnson,Miami,FL,32819,2023-05-13,Yes,SMS,Community Event,$75K-$99K
C000208,CL003,Noah Allen,Pensacola,FL,32509,2019-07-23,Yes,Email,Google Search,$75K-$99K
C000209,CL009,Rachel Ramirez,Orlando,FL,32275,2021-04-04,Yes,Phone,Existing Client,<$50K
C000210,CL002,Ryan Allen,Alachua,FL,32233,2021-09-29,No,SMS,Social Media,$75K-$99K
C000211,CL009,Luna Wright,St. Petersburg,FL,32967,2018-08-17,Yes,SMS,Existing Client,$150K+
C000212,CL001,Kevin Johnson,Palm Coast,FL,32713,2020-02-14,Yes,Phone,Social Media,$75K-$99K
C000213,CL009,Liam Walker,Lakeland,FL,34284,2020-10-14,Yes,SMS,Referral,$100K-$149K
C000214,CL004,Sarah Perez,Palm Coast,FL,34761,2018-02-16,Yes,Email,Community Event,$50K-$74K
C000215,CL003,Charlotte Young,Tampa,FL,34911,2022-08-23,Yes,Email,Existing Client,$100K-$149K
C000216,CL006,Sarah Jones,Tampa,FL,33800,2022-12-20,Yes,SMS,Social Media,$100K-$149K
C000217,CL011,Charlotte White,Alachua,FL,33668,2022-07-24,No,SMS,Referral,$100K-$149K
C000218,CL010,Mia Perez,Tampa,FL,33936,2018-05-11,No,SMS,Social Media,<$50K
C000219,CL002,Grace Mitchell,Orlando,FL,33557,2021-11-03,No,SMS,Community Event,$50K-$74K
C000220,CL005,Charlotte Perez,Clearwater,FL,33226,2022-01-17,Yes,Phone,Walk-In,$75K-$99K
C000221,CL009,Jack Young,Newberry,FL,33780,2018-12-22,Yes,SMS,Google Search,<$50K
C000222,CL011,Chloe Brown,Palm Coast,FL,32575,2018-10-06,No,SMS,Existing Client,$100K-$149K
C000223,CL006,Amanda Garcia,Boca Raton,FL,33522,2019-09-19,Yes,SMS,Google Search,$150K+
C000224,CL008,Benjamin Miller,Tampa,FL,34529,2018-12-31,No,Email,Referral,<$50K
C000225,CL006,Liam Nguyen,Fort Myers,FL,33168,2021-12-24,Yes,SMS,Walk-In,$150K+
C000226,CL002,Lauren Garcia,Newberry,FL,32848,2022-03-10,Yes,SMS,Walk-In,$100K-$149K
C000227,CL004,Olivia Hill,Boca Raton,FL,32741,2023-11-02,No,Email,Walk-In,$150K+
C000228,CL005,Megan Nelson,Gainesville,FL,34886,2018-07-25,Yes,Phone,Referral,$75K-$99K
C000229,CL002,Camila Hernandez,Ocala,FL,34330,2020-11-28,Yes,Phone,Referral,$100K-$149K
C000230,CL004,Camila Torres,Ocala,FL,34030,2023-04-07,Yes,Phone,Google Search,$150K+
C000231,CL006,Robert Green,Jacksonville,FL,34866,2023-04-07,Yes,Phone,Social Media,$150K+
C000232,CL008,Audrey Baker,Orlando,FL,34386,2021-04-10,Yes,Email,Community Event,$50K-$74K
C000233,CL004,Michael Rodriguez,Miami,FL,32932,2020-11-10,Yes,SMS,Google Search,$100K-$149K
C000234,CL011,Logan Martinez,Orlando,FL,34393,2018-11-19,Yes,SMS,Referral,$75K-$99K
C000235,CL008,Rachel Johnson,Palm Coast,FL,34355,2023-06-15,No,SMS,Walk-In,$100K-$149K
C000236,CL009,Ava Roberts,Alachua,FL,34715,2020-04-12,Yes,Phone,Community Event,$100K-$149K
C000237,CL007,Megan Rivera,Newberry,FL,34046,2023-02-23,Yes,SMS,Existing Client,$100K-$149K
C000238,CL006,Amelia Wilson,Newberry,FL,34845,2020-02-27,Yes,Phone,Community Event,<$50K
C000239,CL009,James Garcia,Boca Raton,FL,32320,2022-07-30,Yes,SMS,Referral,<$50K
C000240,CL001,Elijah Lewis,Sarasota,FL,34257,2023-10-21,No,SMS,Existing Client,$100K-$149K
C000241,CL001,Rachel Carter,Lake City,FL,32667,2020-04-26,Yes,Phone,Walk-In,$150K+
C000242,CL011,Mason Thompson,Lake City,FL,34168,2018-04-04,Yes,Phone,Google Search,$100K-$149K
C000243,CL003,Rachel Ramirez,Tampa,FL,34517,2021-12-03,Yes,Email,Community Event,$50K-$74K
C000244,CL011,Ethan Miller,Gainesville,FL,34185,2019-12-20,Yes,Email,Community Event,$50K-$74K
C000245,CL001,Logan Williams,Sarasota,FL,34000,2019-03-12,No,SMS,Social Media,$50K-$74K
C000246,CL011,Megan Lewis,Lake City,FL,34777,2021-05-05,Yes,SMS,Social Media,$100K-$149K
C000247,CL012,Ryan Hall,Delray Beach,FL,32884,2023-03-23,Yes,SMS,Social Media,<$50K
C000248,CL004,Jessica Hall,Tampa,FL,32988,2018-03-25,Yes,SMS,Referral,$50K-$74K
C000249,CL012,Daniel Baker,Delray Beach,FL,32752,2021-05-13,No,SMS,Community Event,$100K-$149K
C000250,CL009,Lucas Mitchell,Palm Coast,FL,33790,2022-04-28,No,SMS,Existing Client,$50K-$74K
C000251,CL007,Evelyn Allen,St. Petersburg,FL,32817,2023-02-08,Yes,Phone,Existing Client,$75K-$99K
C000252,CL011,Amanda Moore,Tallahassee,FL,34214,2022-12-06,Yes,SMS,Google Search,$100K-$149K
C000253,CL012,Olivia Thomas,Newberry,FL,32812,2018-10-04,Yes,SMS,Social Media,$75K-$99K
C000254,CL012,Logan Nelson,Clearwater,FL,32830,2018-10-21,Yes,Email,Community Event,$50K-$74K
C000255,CL005,Nick Allen,Orlando,FL,32962,2018-05-27,Yes,Email,Walk-In,$50K-$74K
C000256,CL005,Ethan Clark,Delray Beach,FL,34889,2021-07-29,No,SMS,Walk-In,$50K-$74K
